League,Year,position,team,matches,wins,draws,loses,scored,missed,pts,xG,xG_diff,npxG,xGA,xGA_diff,npxGA,npxGD,ppda_coef,oppda_coef,deep,deep_allowed,xpts,xpts_diff
EPL,2014,1,Chelsea,38,26,9,3,73,32,87,68.64332,-4.35668,64.740402,31.5243441,-0.4756559,29.2408351,35.4995669,10.94202738,13.41951987,407,171,75.3172,-11.6828
EPL,2014,2,Manchester City,38,24,7,7,83,38,79,75.815441,-7.184559,69.609091,40.499403,2.499403,37.454762,32.154329,7.98249033,15.07697865,575,144,73.0982,-5.9018
EPL,2014,3,Arsenal,38,22,9,7,71,36,75,69.802591,-1.197409,64.474404,35.718825,-0.281175,33.435352,31.039052,8.660595632,13.2541686,398,171,75.174,0.174
EPL,2014,4,Manchester United,38,20,10,8,62,37,70,54.20686,-7.79314,50.401013,39.842347,2.842347,36.797702,13.603311,7.648714693,15.52197679,267,194,63.0327,-6.9673
EPL,2014,5,Tottenham,38,19,7,12,58,53,64,52.385284,-5.614716,48.427014,57.044148,4.044148,51.598938,-3.171924,8.000236628,11.30069375,210,232,48.9361,-15.0639
EPL,2014,6,Liverpool,38,18,8,12,52,48,62,51.697226,-0.302774,47.13021,38.249721,-9.750279,35.8294,11.30081,9.913851388,12.121981,306,201,61.1673,-0.8327
EPL,2014,7,Southampton,38,18,6,14,54,33,60,54.965667,0.965667,52.682172,39.11352,6.11352,37.591178,15.090994,9.25953971,14.87947908,270,183,62.8166,2.8166
EPL,2014,8,Swansea,38,16,8,14,46,49,56,40.901235,-5.098765,39.3789,55.94297,6.94297,54.420634,-15.041734,12.8267409,11.45520141,156,310,43.3167,-12.6833
EPL,2014,9,Stoke,38,15,9,14,48,45,54,46.260597,-1.739403,43.977084,47.030662,2.030662,43.224882,0.752202,10.40575295,10.60143959,195,239,51.9715,-2.0285
EPL,2014,10,Crystal Palace,38,13,9,16,47,51,48,44.756683,-2.243317,40.052909,45.484365,-5.515635,40.820304,-0.767395,11.57705065,6.582147902,180,258,50.557,2.557
EPL,2014,11,West Ham,38,12,11,15,44,47,47,46.687234,2.687234,45.164894,57.402133,10.402133,53.443827,-8.278933,12.0426426,8.433845139,217,316,47.2178,0.2178
EPL,2014,12,Everton,38,12,11,15,48,50,47,44.888185,-3.111815,39.560085,46.182073,-3.817927,43.1374,-3.577315,10.43277394,11.68267728,259,245,50.9105,3.9105
EPL,2014,13,West Bromwich Albion,38,11,11,16,38,51,44,38.6277291,0.6277291,34.8219141,53.748536,2.748536,48.420396,-13.5984819,13.54580328,9.86970328,161,283,44.7359,0.7359
EPL,2014,14,Leicester,38,11,8,19,46,55,41,48.206401,2.206401,45.161721,56.392116,1.392116,53.347435,-8.185714,10.22930805,8.019074496,191,287,44.64,3.64
EPL,2014,15,Newcastle United,38,10,9,19,40,63,39,40.221386,0.221386,39.460251,51.014275,-11.985725,47.969675,-8.509424,10.42238509,8.840573949,175,239,45.6305,6.6305
EPL,2014,16,Aston Villa,38,10,8,20,31,57,38,33.102671,2.102671,32.341501,49.706256,-7.293744,46.661579,-14.320078,16.38689217,11.06561893,184,237,40.8917,2.8917
EPL,2014,17,Sunderland,38,7,17,14,31,53,38,37.446153,6.446153,34.401476,51.464371,-1.535629,48.419705,-14.018229,11.42130085,8.129491667,153,313,44.1821,6.1821
EPL,2014,18,Hull,38,8,11,19,33,51,35,32.791033,-0.208967,32.029898,46.992957,-4.007043,44.69685,-12.666952,14.3451463,10.02113135,139,261,41.3213,6.3213
EPL,2014,19,Burnley,38,7,12,19,28,53,33,39.372649,11.372649,37.08914,57.888856,4.888856,54.083013,-16.993873,11.46092579,9.979095625,218,258,39.7959,6.7959
EPL,2014,20,Queens Park Rangers,38,8,6,24,42,73,30,45.726091,3.726091,41.907666,65.262558,-7.737442,62.217878,-20.310212,10.3417973,7.591177261,179,298,40.2773,10.2773
EPL,2015,1,Leicester,38,23,12,3,68,36,81,68.416034,0.416034,58.520867,45.019954,9.019954,41.975274,16.545593,10.09947086,8.602384307,217,275,68.9442,-12.0558
EPL,2015,2,Arsenal,38,20,11,7,65,36,71,73.530928,8.530928,72.008593,33.8574794,-2.1425206,33.0963134,38.9122796,8.785488141,12.21874444,467,192,77.0087,6.0087
EPL,2015,3,Tottenham,38,19,13,6,69,35,70,63.419362,-5.580638,59.613556,37.080929,2.080929,35.558639,24.054917,6.677874617,11.69042545,255,182,69.4142,-0.5858
